,pol_filtered,pol
824,1742.713,7628.746
825,1558.827,4006.02
826,5673.74,4972.826
827,4319.258,1505.947
828,3923.059,5270.344
829,5773.909,3953.82
830,2531.195,4613.716
831,5936.979,2033.33
832,11222.99,9189.512
833,1750.34,11131.73
834,8020.279,5547.102
835,10310.57,4334.267
836,6313.073,2822.092
837,4524.367,4903.275
838,14603.53,2437.135
839,4183.106,7750.32
840,5628.694,2289.667
841,3399.248,3545.239
842,2959.141,3672.607
843,5443.353,7704.66
844,3818.546,2248.855
845,5623.256,12585.58
846,4755.64,4643.937
847,3703.699,3581.856
848,2296.263,3063.142
849,1730.773,5537.709
850,4660.409,9029.201
851,1825.543,2666.389
852,6884.565,3316.843
853,6967.411,8156.097
854,1187.286,5694.426
855,6811.167,5393.981
856,12585.58,2406.266
857,7978.361,7842.817
858,1288.356,10416.09
859,2557.648,4421.199
860,2463.578,12585.58
861,8927.075,4863.852
862,2610.628,25002.97
863,3958.425,10265.93
864,5016.553,99241.47
865,2182.486,3343.348
866,5686.693,4065.844
867,1568.799,9230.233
868,3406.475,11140.83
869,2115.603,3746.151
870,5083.385,7529.615
871,3892.025,3282.797
872,6271.671,12809.45
873,2755.995,7179.991
874,1847.611,4271.817
875,1702.185,2624.238
876,2322.051,2668.96
877,6792.668,3504.561
878,2748.037,6662.581
879,3069.62,5909.727
880,16233.0,7175.131
881,7325.846,7647.757
882,5972.944,12585.58
883,2165.201,1903.525
884,7960.11,6237.121
885,3199.524,3229.703
886,3360.362,3716.246
887,3415.925,5118.887
888,4442.107,7462.732
889,3291.785,34615.07
890,2279.022,4283.238
891,3134.835,4731.364
892,3570.709,2228.836
893,4916.427,9083.465
894,7294.19,6642.403
895,4854.276,3875.553
896,6368.229,3867.052
897,4289.694,6978.881
898,5538.118,4607.451
899,3580.534,5735.746
900,3159.179,6090.426
901,23210.32,1503.305
902,7064.972,2492.38
903,4216.589,10192.61
904,3127.343,4831.651
905,8591.945,2951.892
906,4033.022,8477.274
907,1863.009,9218.46
908,4264.135,3613.32
909,3299.186,5852.661
910,3483.608,7945.206
911,4194.653,3478.455
912,3148.141,2300.008
913,3505.085,2588.889
914,980.7662,4322.505
915,1736.967,2234.764
916,3135.747,6874.091
917,3208.125,5949.047
918,6156.98,4905.879
919,2664.785,8625.048
920,1884.996,4899.748
921,2421.323,11317.21
922,3002.962,5605.279
923,3825.096,3704.243
924,6035.394,11277.85
925,3090.203,7057.0
926,1820.979,10686.69
927,8146.631,4732.181
928,4350.261,6128.594
929,6266.089,4300.57
930,4898.449,3737.34
931,7021.93,4460.839
932,10169.95,3627.406
933,2872.844,50190.52
934,4006.116,5704.748
935,2937.304,6321.606
936,1876.817,2530.214
937,2898.36,6697.307
938,4529.84,5096.566
939,2893.162,2695.942
940,3628.796,4904.779
941,3050.28,4934.853
942,3570.971,7599.037
943,3585.31,5633.241
944,3080.468,2284.135
945,2690.602,4288.751
946,6771.308,2804.213
947,5728.934,7667.316
948,6569.94,3277.075
949,4750.527,3414.819
950,3787.327,12585.58
951,3508.769,3499.482
952,2475.833,7232.015
953,4573.393,6394.264
954,5747.742,4101.097
955,2007.186,3710.416
956,3765.111,1985.245
957,8987.788,7598.132
958,10863.23,10093.17
959,9456.173,26205.65
960,3839.664,4388.28
961,4972.182,7143.58
962,1350.446,3694.652
963,4247.179,12585.58
964,3222.362,4340.192
965,3077.217,4891.815
966,3817.592,3469.216
967,20175.71,1846.864
968,2864.022,3842.269
969,5454.363,1760.97
970,4482.485,1930.886
971,7567.003,4032.355
972,4624.513,2697.361
973,12585.58,13930.96
974,3392.565,2219.672
975,3442.419,4235.508
976,11613.98,12585.58
977,1897.527,3718.946
978,15493.99,5368.792
979,21242.41,11232.41
980,3563.813,3168.904
981,2416.068,3147.995
982,16993.6,2961.648
983,2744.148,3858.533
984,3473.104,3649.946
985,3577.562,5310.524
986,3899.241,2994.608
987,4350.799,8371.329
988,3707.652,12825.25
989,1997.983,3163.178
990,1867.448,3716.746
991,2451.047,4095.119
992,3033.444,5385.91
993,3003.803,5880.135
994,3621.159,6399.895
995,7931.965,3590.218
996,3204.937,5193.566
997,5892.316,3805.619
998,5586.115,6940.571
999,3996.271,4111.757
1000,5736.215,3058.596
1001,7954.815,26940.23
1002,2574.101,5745.096
1003,3442.391,3592.264
1004,3304.157,5814.226
1005,6060.812,5008.397
1006,8828.611,3166.546
1007,3869.794,3551.726
1008,24309.17,2085.792
1009,6333.339,2192.457
1010,4484.294,4407.657
1011,1652.262,12585.58
1012,4974.363,2617.637
1013,3662.148,8580.34
1014,4506.428,3959.468
1015,10017.13,5354.552
1016,12585.58,8525.041
1017,6614.979,1558.818
1018,7494.05,16968.82
1019,4884.747,11588.09
1020,6560.09,5443.01
1021,4599.023,4603.29
1022,5629.006,3215.632
1023,6166.042,6267.186
1024,3728.908,3268.909
1025,3105.252,12585.58
1026,4210.011,4329.895
1027,5859.158,5190.52
1028,6307.205,6509.44
1029,3098.287,3363.88
1030,4017.095,3549.608
1031,6574.865,7879.262
1032,4587.338,1805.1
1033,5000.344,2860.054
1034,4171.327,4006.973
1035,5515.866,5352.793
1036,4291.097,4785.987
1037,5123.674,6590.019
1038,4482.006,6281.859
1039,4384.397,9277.678
1040,9626.064,2370.603
